"%1 (code %2)","%1 (code %2)"
"%1 The order was already cancelled, a manual review is required.","%1 The order was already cancelled, a manual review is required."
"API message","API message"
"Aborted","Aborted"
"An order number, an operation, anything","An order number, an operation, anything"
"Authorised","Authorised"
"Authorising","Authorising"
"Base URL without trailing slash, e.g. https://api.example.com","Base URL without trailing slash, e.g. https://api.example.com"
"Base URL without trailing slash, e.g. https://staging.example.com","Base URL without trailing slash, e.g. https://staging.example.com"
"Cancelled","Cancelled"
"Charged","Charged"
"Created","Created"
"Customer","Customer"
"Customer return","Customer return"
"Debug Mode","Debug Mode"
"Debug Mode is off: the log tells what happened, without the API payloads.","Debug Mode is off: the log tells what happened, without the API payloads."
"Description","Description"
"Enabled","Enabled"
"Environment","Environment"
"Error","Error"
"Filter","Filter"
"HMAC Key","HMAC Key"
"Invalid signature on the %1 of order %2.","Invalid signature on the %1 of order %2."
"Last %1 lines of %2, the most recent first.","Last %1 lines of %2, the most recent first."
"Limonetik operation ID","Limonetik operation ID"
"Limonetik order ID","Limonetik order ID"
"Lines","Lines"
"Logs the full request and response payloads in var/log/payplug_ogloba.log, read from Sales > Ogloba API Logs.","Logs the full request and response payloads in var/log/payplug_ogloba.log, read from Sales > Ogloba API Logs."
"Maximum Order Total","Maximum Order Total"
"Merchant ID","Merchant ID"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"No line matching ""%1"" in the end of the log.","No line matching ""%1"" in the end of the log."
"No order matching the Ogloba operation %1.","No order matching the Ogloba operation %1."
"Not a final status, the order is left as it is.","Not a final status, the order is left as it is."
"Not supported by this version, the order awaits a final status.","Not supported by this version, the order awaits a final status."
"Notify Failed Transaction","Notify Failed Transaction"
"Notify Successful Transaction","Notify Successful Transaction"
"Ogloba API","Ogloba API"
"Ogloba API Logs","Ogloba API Logs"
"Ogloba Gift Card","Ogloba Gift Card"
"Ogloba environment","Ogloba environment"
"Ogloba failed transaction","Ogloba failed transaction"
"Ogloba notification","Ogloba notification"
"Ogloba notification - %1","Ogloba notification - %1"
"Ogloba notification: No payment status was received.","Ogloba notification: No payment status was received."
"Ogloba order ID","Ogloba order ID"
"Ogloba order sequence","Ogloba order sequence"
"Ogloba payment confirmed - order %increment_id","Ogloba payment confirmed - order %increment_id"
"Ogloba payment failed - order %increment_id","Ogloba payment failed - order %increment_id"
"Ogloba payment operation ID","Ogloba payment operation ID"
"Ogloba payment return - %1","Ogloba payment return - %1"
"Ogloba payment return: The customer came back without a payment status.","Ogloba payment return: The customer came back without a payment status."
"Ogloba payment status","Ogloba payment status"
"Ogloba refund of %1 completed (operation %2).","Ogloba refund of %1 completed (operation %2)."
"Ogloba refund of %1 in progress (operation %2), waiting for the Ogloba notification.","Ogloba refund of %1 in progress (operation %2), waiting for the Ogloba notification."
"Ogloba refund operation ID","Ogloba refund operation ID"
"Ogloba refund status","Ogloba refund status"
"Ogloba reported the refund of order %1 as %2, the credit memo has not been created.","Ogloba reported the refund of order %1 as %2, the credit memo has not been created."
"Ogloba successful transaction","Ogloba successful transaction"
"Ogloba: the customer came back to the shop from the payment page.","Ogloba: the customer came back to the shop from the payment page."
"Ogloba: the customer is redirected to the payment page.","Ogloba: the customer is redirected to the payment page."
"Ogloba: the invoice has been created automatically further to the charged payment.","Ogloba: the invoice has been created automatically further to the charged payment."
"Operation Notifications","Operation Notifications"
"Operator Email","Operator Email"
"Order","Order"
"Order %1 carries no Ogloba order reference, it cannot be refunded online.","Order %1 carries no Ogloba order reference, it cannot be refunded online."
"Order %1 is in %2 while the store currency is %3, the online refund cannot be sent.","Order %1 is in %2 while the store currency is %3, the online refund cannot be sent."
"Order %1 was paid on the %2 environment but the module is now configured on %3, the online refund cannot be sent.","Order %1 was paid on the %2 environment but the module is now configured on %3, the online refund cannot be sent."
"Partially refunded","Partially refunded"
"Pay for your order with your Ogloba gift card.","Pay for your order with your Ogloba gift card."
"PayPlug Payments - Ogloba KDO","PayPlug Payments - Ogloba KDO"
"Payment Page ID","Payment Page ID"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment in progress","Payment in progress"
"Private shared secret used to sign outgoing requests and verify notifications.","Private shared secret used to sign outgoing requests and verify notifications."
"Production","Production"
"Production Host","Production Host"
"Recipients of the operation notifications, comma-separated.","Recipients of the operation notifications, comma-separated."
"Refresh","Refresh"
"Refunded","Refunded"
"Refunding","Refunding"
"Refused","Refused"
"Resolved by","Resolved by"
"Selects which host the payment orders are sent to.","Selects which host the payment orders are sent to."
"Sends a confirmation email to the operator on successful payment.","Sends a confirmation email to the operator on successful payment."
"Sends an alert to the operator on failed payment.","Sends an alert to the operator on failed payment."
"Shown to the customer in the checkout when this payment method is selected.","Shown to the customer in the checkout when this payment method is selected."
"Sort Order","Sort Order"
"Staging","Staging"
"Staging Host","Staging Host"
"Store","Store"
"The Ogloba %1 carries no %2.","The Ogloba %1 carries no %2."
"The Ogloba operation %1 is already being resolved elsewhere.","The Ogloba operation %1 is already being resolved elsewhere."
"The Ogloba payment of order %1 did not go through, the order has been cancelled.","The Ogloba payment of order %1 did not go through, the order has been cancelled."
"The Ogloba payment of order %1 has been charged, the order is being processed.","The Ogloba payment of order %1 has been charged, the order is being processed."
"The Ogloba payment of order %1 has been resolved.","The Ogloba payment of order %1 has been resolved."
"The Ogloba refund could not be processed. Check the Ogloba log for the details.","The Ogloba refund could not be processed. Check the Ogloba log for the details."
"The currency selected is not supported by Ogloba Gift Card.","The currency selected is not supported by Ogloba Gift Card."
"The log is empty, or has not been written yet.","The log is empty, or has not been written yet."
"The payment page could not be reached. Your cart has been restored, please try again.","The payment page could not be reached. Your cart has been restored, please try again."
"The payment was not completed and your gift card has not been charged.","The payment was not completed and your gift card has not been charged."
"This order can no longer be paid. Your cart has been restored, please try again.","This order can no longer be paid. Your cart has been restored, please try again."
"Title","Title"
"Total","Total"
"Turn it on in the payment configuration.","Turn it on in the payment configuration."
"Unknown status, handled as a failed transaction.","Unknown status, handled as a failed transaction."
"We are unable to reach the payment provider. Please try again or choose another payment method.","We are unable to reach the payment provider. Please try again or choose another payment method."

"Your order has been placed and the Ogloba payment is still being confirmed. Your order will be updated as soon as the confirmation arrives.","Your order has been placed and the Ogloba payment is still being confirmed. Your order will be updated as soon as the confirmation arrives."
