"%1 (code %2)","%1 (código %2)"
"%1 The order was already cancelled, a manual review is required.","%1 El pedido ya estaba cancelado, se requiere una revisión manual."
"API message","Mensaje de la API"
"Aborted","Abandonado"
"An order number, an operation, anything","Un número de pedido, una operación, lo que sea"
"Authorised","Autorizado"
"Authorising","Autorización en curso"
"Base URL without trailing slash, e.g. https://api.example.com","URL base sin barra final, por ejemplo https://api.example.com"
"Base URL without trailing slash, e.g. https://staging.example.com","URL base sin barra final, por ejemplo https://staging.example.com"
"Cancelled","Cancelado"
"Charged","Cobrado"
"Created","Creado"
"Customer","Cliente"
"Customer return","Retorno del cliente"
"Debug Mode","Modo de depuración"
"Debug Mode is off: the log tells what happened, without the API payloads.","El modo de depuración está desactivado: el registro dice lo que ocurrió, sin los contenidos intercambiados con la API."
"Description","Descripción"
"Enabled","Activado"
"Environment","Entorno"
"Error","Error"
"Filter","Filtro"
"HMAC Key","Clave HMAC"
"Invalid signature on the %1 of order %2.","Firma no válida en el %1 del pedido %2."
"Last %1 lines of %2, the most recent first.","Últimas %1 líneas de %2, la más reciente primero."
"Limonetik operation ID","Identificador de operación Limonetik"
"Limonetik order ID","Identificador de pedido Limonetik"
"Lines","Líneas"
"Logs the full request and response payloads in var/log/payplug_ogloba.log, read from Sales > Ogloba API Logs.","Registra el contenido completo de las solicitudes y respuestas en var/log/payplug_ogloba.log, consultable desde Ventas > Registros de la API Ogloba."
"Maximum Order Total","Importe máximo del pedido"
"Merchant ID","Identificador de comercio"
"Minimum Order Total","Importe mínimo del pedido"
"New Order Status","Estado de los nuevos pedidos"
"No line matching ""%1"" in the end of the log.","Ninguna línea coincide con «%1» al final del registro."
"No order matching the Ogloba operation %1.","Ningún pedido coincide con la operación Ogloba %1."
"Not a final status, the order is left as it is.","Estado no definitivo, el pedido se deja sin cambios."
"Not supported by this version, the order awaits a final status.","No admitido por esta versión, el pedido espera un estado definitivo."
"Notify Failed Transaction","Notificar transacción fallida"
"Notify Successful Transaction","Notificar transacción correcta"
"Ogloba API","API Ogloba"
"Ogloba API Logs","Registros de la API Ogloba"
"Ogloba Gift Card","Tarjeta regalo Ogloba"
"Ogloba environment","Entorno Ogloba"
"Ogloba failed transaction","Transacción Ogloba fallida"
"Ogloba notification","Notificación Ogloba"
"Ogloba notification - %1","Notificación Ogloba - %1"
"Ogloba notification: No payment status was received.","Notificación Ogloba: no se recibió ningún estado de pago."
"Ogloba order ID","Identificador de pedido Ogloba"
"Ogloba order sequence","Número de secuencia Ogloba"
"Ogloba payment confirmed - order %increment_id","Pago Ogloba confirmado - pedido %increment_id"
"Ogloba payment failed - order %increment_id","Pago Ogloba fallido - pedido %increment_id"
"Ogloba payment operation ID","ID de la operación de pago Ogloba"
"Ogloba payment return - %1","Retorno de pago Ogloba - %1"
"Ogloba payment return: The customer came back without a payment status.","Retorno de pago Ogloba: el cliente volvió sin estado de pago."
"Ogloba payment status","Estado de pago Ogloba"
"Ogloba refund of %1 completed (operation %2).","Reembolso Ogloba de %1 completado (operación %2)."
"Ogloba refund of %1 in progress (operation %2), waiting for the Ogloba notification.","Reembolso Ogloba de %1 en curso (operación %2), a la espera de la notificación de Ogloba."
"Ogloba refund operation ID","ID de la operación de reembolso Ogloba"
"Ogloba refund status","Estado del reembolso Ogloba"
"Ogloba reported the refund of order %1 as %2, the credit memo has not been created.","Ogloba declaró el reembolso del pedido %1 como %2, el abono no se ha creado."
"Ogloba successful transaction","Transacción Ogloba correcta"
"Ogloba: the customer came back to the shop from the payment page.","Ogloba: el cliente ha vuelto a la tienda desde la página de pago."
"Ogloba: the customer is redirected to the payment page.","Ogloba: el cliente ha sido redirigido a la página de pago."
"Ogloba: the invoice has been created automatically further to the charged payment.","Ogloba: la factura se ha creado automáticamente tras el cobro del pago."
"Operation Notifications","Notificaciones de operaciones"
"Operator Email","Correo electrónico del operador"
"Order","Pedido"
"Order %1 carries no Ogloba order reference, it cannot be refunded online.","El pedido %1 no lleva ninguna referencia de pedido Ogloba, no puede reembolsarse en línea."
"Order %1 is in %2 while the store currency is %3, the online refund cannot be sent.","El pedido %1 está en %2 mientras que la moneda de la tienda es %3, el reembolso en línea no puede enviarse."
"Order %1 was paid on the %2 environment but the module is now configured on %3, the online refund cannot be sent.","El pedido %1 se pagó en el entorno %2 pero el módulo está ahora configurado en %3, el reembolso en línea no puede enviarse."
"Partially refunded","Parcialmente reembolsado"
"Pay for your order with your Ogloba gift card.","Pague su pedido con su tarjeta regalo Ogloba."
"PayPlug Payments - Ogloba KDO","Pagos PayPlug - Ogloba KDO"
"Payment Page ID","Identificador de página de pago"
"Payment from Applicable Countries","Pago desde Países Permitidos"
"Payment from Specific Countries","Pago desde Países Específicos"
"Payment in progress","Pago en curso"
"Private shared secret used to sign outgoing requests and verify notifications.","Secreto compartido privado utilizado para firmar las solicitudes salientes y verificar las notificaciones."
"Production","Producción"
"Production Host","Host de producción"
"Recipients of the operation notifications, comma-separated.","Destinatarios de las notificaciones de operaciones, separados por comas."
"Refresh","Actualizar"
"Refunded","Reembolsado"
"Refunding","Reembolso en curso"
"Refused","Rechazado"
"Resolved by","Resuelto por"
"Selects which host the payment orders are sent to.","Determina el host al que se envían las solicitudes de pago."
"Sends a confirmation email to the operator on successful payment.","Envía un correo de confirmación al operador cuando el pago se realiza correctamente."
"Sends an alert to the operator on failed payment.","Envía una alerta al operador cuando el pago falla."
"Shown to the customer in the checkout when this payment method is selected.","Se muestra al cliente en el proceso de compra cuando se selecciona este método de pago."
"Sort Order","Orden de clasificación"
"Staging","Staging"
"Staging Host","Host de staging"
"Store","Tienda"
"The Ogloba %1 carries no %2.","%1 Ogloba: no se ha recibido ningún %2."
"The Ogloba operation %1 is already being resolved elsewhere.","La operación Ogloba %1 ya se está resolviendo en otro proceso."
"The Ogloba payment of order %1 did not go through, the order has been cancelled.","El pago Ogloba del pedido %1 no se ha completado, el pedido se ha cancelado."
"The Ogloba payment of order %1 has been charged, the order is being processed.","El pago Ogloba del pedido %1 se ha cobrado, el pedido está en proceso."
"The Ogloba payment of order %1 has been resolved.","El pago Ogloba del pedido %1 se ha resuelto."
"The Ogloba refund could not be processed. Check the Ogloba log for the details.","No se ha podido procesar el reembolso Ogloba. Consulte el registro de Ogloba para más detalles."
"The currency selected is not supported by Ogloba Gift Card.","La moneda seleccionada no es compatible con la tarjeta regalo Ogloba."
"The log is empty, or has not been written yet.","El registro está vacío o aún no se ha escrito."
"The payment page could not be reached. Your cart has been restored, please try again.","No se ha podido acceder a la página de pago. Su cesta se ha restaurado, inténtelo de nuevo."
"The payment was not completed and your gift card has not been charged.","El pago no se ha completado y no se ha cargado ningún importe en su tarjeta regalo."
"This order can no longer be paid. Your cart has been restored, please try again.","Este pedido ya no se puede pagar. Su cesta se ha restaurado, inténtelo de nuevo."
"Title","Título"
"Total","Total"
"Turn it on in the payment configuration.","Actívelo en la configuración del método de pago."
"Unknown status, handled as a failed transaction.","Estado desconocido, tratado como una transacción fallida."
"We are unable to reach the payment provider. Please try again or choose another payment method.","No podemos contactar con el proveedor de pago. Inténtelo de nuevo o elija otro método de pago."

"Your order has been placed and the Ogloba payment is still being confirmed. Your order will be updated as soon as the confirmation arrives.","Su pedido se ha registrado y el pago Ogloba está pendiente de confirmación. Su pedido se actualizará en cuanto llegue la confirmación."
