"%1 (code %2)","%1 (code %2)"
"%1 The order was already cancelled, a manual review is required.","%1 La commande était déjà annulée, une vérification manuelle est nécessaire."
"API message","Message de l'API"
"Aborted","Abandonné"
"An order number, an operation, anything","Un numéro de commande, une opération, ce que vous voulez"
"Authorised","Autorisé"
"Authorising","Autorisation en cours"
"Base URL without trailing slash, e.g. https://api.example.com","URL de base sans slash final, par exemple https://api.example.com"
"Base URL without trailing slash, e.g. https://staging.example.com","URL de base sans slash final, par exemple https://staging.example.com"
"Cancelled","Annulé"
"Charged","Débité"
"Created","Créé"
"Customer","Client"
"Customer return","Retour client"
"Debug Mode","Mode debug"
"Debug Mode is off: the log tells what happened, without the API payloads.","Le mode debug est désactivé : le journal dit ce qui s'est passé, sans les contenus échangés avec l'API."
"Description","Description"
"Enabled","Activé"
"Environment","Environnement"
"Error","Erreur"
"Filter","Filtre"
"HMAC Key","Clé HMAC"
"Invalid signature on the %1 of order %2.","Signature invalide sur le %1 de la commande %2."
"Last %1 lines of %2, the most recent first.","%1 dernières lignes de %2, la plus récente en premier."
"Limonetik operation ID","ID d'opération Limonetik"
"Limonetik order ID","Identifiant de commande Limonetik"
"Lines","Lignes"
"Logs the full request and response payloads in var/log/payplug_ogloba.log, read from Sales > Ogloba API Logs.","Journalise l'intégralité des requêtes et des réponses dans var/log/payplug_ogloba.log, consultable depuis Ventes > Journaux API Ogloba."
"Maximum Order Total","Montant maximum de commande"
"Merchant ID","Identifiant marchand"
"Minimum Order Total","Montant minimum de commande"
"New Order Status","Statut des nouvelles commandes"
"No line matching ""%1"" in the end of the log.","Aucune ligne ne correspond à « %1 » dans la fin du journal."
"No order matching the Ogloba operation %1.","Aucune commande ne correspond à l'opération Ogloba %1."
"Not a final status, the order is left as it is.","Statut non définitif, la commande est laissée en l'état."
"Not supported by this version, the order awaits a final status.","Non pris en charge par cette version, la commande attend un statut définitif."
"Notify Failed Transaction","Notification transaction échouée"
"Notify Successful Transaction","Notification transaction réussie"
"Ogloba API","API Ogloba"
"Ogloba API Logs","Journaux API Ogloba"
"Ogloba Gift Card","Carte cadeau Ogloba"
"Ogloba environment","Environnement Ogloba"
"Ogloba failed transaction","Transaction Ogloba échouée"
"Ogloba notification","Notification Ogloba"
"Ogloba notification - %1","Notification Ogloba - %1"
"Ogloba notification: No payment status was received.","Notification Ogloba : aucun statut de paiement reçu."
"Ogloba order ID","ID de commande Ogloba"
"Ogloba order sequence","Numéro de séquence Ogloba"
"Ogloba payment confirmed - order %increment_id","Paiement Ogloba confirmé - commande %increment_id"
"Ogloba payment failed - order %increment_id","Paiement Ogloba échoué - commande %increment_id"
"Ogloba payment operation ID","ID d'opération de paiement Ogloba"
"Ogloba payment return - %1","Retour de paiement Ogloba - %1"
"Ogloba payment return: The customer came back without a payment status.","Retour de paiement Ogloba : le client est revenu sans statut de paiement."
"Ogloba payment status","Statut de paiement Ogloba"
"Ogloba refund of %1 completed (operation %2).","Remboursement Ogloba de %1 effectué (opération %2)."
"Ogloba refund of %1 in progress (operation %2), waiting for the Ogloba notification.","Remboursement Ogloba de %1 en cours (opération %2), en attente de la notification Ogloba."
"Ogloba refund operation ID","ID d'opération de remboursement Ogloba"
"Ogloba refund status","Statut du remboursement Ogloba"
"Ogloba reported the refund of order %1 as %2, the credit memo has not been created.","Ogloba a déclaré le remboursement de la commande %1 comme %2, l'avoir n'a pas été créé."
"Ogloba successful transaction","Transaction Ogloba réussie"
"Ogloba: the customer came back to the shop from the payment page.","Ogloba : le client est revenu sur la boutique depuis la page de paiement."
"Ogloba: the customer is redirected to the payment page.","Ogloba : le client est redirigé vers la page de paiement."
"Ogloba: the invoice has been created automatically further to the charged payment.","Ogloba : la facture a été créée automatiquement à la suite du paiement encaissé."
"Operation Notifications","Notifications d'opérations"
"Operator Email","Email de l'opérateur"
"Order","Commande"
"Order %1 carries no Ogloba order reference, it cannot be refunded online.","La commande %1 ne porte aucune référence de commande Ogloba, elle ne peut pas être remboursée en ligne."
"Order %1 is in %2 while the store currency is %3, the online refund cannot be sent.","La commande %1 est en %2 alors que la devise de la boutique est %3, le remboursement en ligne ne peut pas être envoyé."
"Order %1 was paid on the %2 environment but the module is now configured on %3, the online refund cannot be sent.","La commande %1 a été payée sur l'environnement %2 mais le module est désormais configuré sur %3, le remboursement en ligne ne peut pas être envoyé."
"Partially refunded","Partiellement remboursé"
"Pay for your order with your Ogloba gift card.","Payez votre commande avec votre carte cadeau Ogloba."
"PayPlug Payments - Ogloba KDO","Paiements Payplug - Ogloba KDO"
"Payment Page ID","Identifiant de page de paiement"
"Payment from Applicable Countries","Paiement depuis les pays autorisés"
"Payment from Specific Countries","Paiement depuis des pays spécifiques"
"Payment in progress","Paiement en cours"
"Private shared secret used to sign outgoing requests and verify notifications.","Secret partagé utilisé pour signer les requêtes sortantes et vérifier les notifications."
"Production","Production"
"Production Host","Host de production"
"Recipients of the operation notifications, comma-separated.","Destinataires des notifications d'opérations, séparés par des virgules."
"Refresh","Rafraîchir"
"Refunded","Remboursé"
"Refunding","Remboursement en cours"
"Refused","Refusé"
"Resolved by","Résolu par"
"Selects which host the payment orders are sent to.","Détermine le host vers lequel les demandes de paiement sont envoyées."
"Sends a confirmation email to the operator on successful payment.","Envoie un email de confirmation à l'opérateur sur paiement réussi."
"Sends an alert to the operator on failed payment.","Envoie une alerte à l'opérateur sur paiement échoué."
"Shown to the customer in the checkout when this payment method is selected.","Affiché au client dans le tunnel de commande lorsque ce moyen de paiement est sélectionné."
"Sort Order","Ordre d'affichage"
"Staging","Staging"
"Staging Host","Host de staging"
"Store","Boutique"
"The Ogloba %1 carries no %2.","%1 Ogloba : aucun %2 n'a été reçu."
"The Ogloba operation %1 is already being resolved elsewhere.","L'opération Ogloba %1 est déjà en cours de résolution ailleurs."
"The Ogloba payment of order %1 did not go through, the order has been cancelled.","Le paiement Ogloba de la commande %1 n'a pas abouti, la commande a été annulée."
"The Ogloba payment of order %1 has been charged, the order is being processed.","Le paiement Ogloba de la commande %1 a été encaissé, la commande est en cours de traitement."
"The Ogloba payment of order %1 has been resolved.","Le paiement Ogloba de la commande %1 a été résolu."
"The Ogloba refund could not be processed. Check the Ogloba log for the details.","Le remboursement Ogloba n'a pas pu être traité. Consultez le journal Ogloba pour plus de détails."
"The currency selected is not supported by Ogloba Gift Card.","La devise sélectionnée n'est pas prise en charge par la carte cadeau Ogloba."
"The log is empty, or has not been written yet.","Le journal est vide, ou n'a pas encore été écrit."
"The payment page could not be reached. Your cart has been restored, please try again.","La page de paiement n'a pas pu être jointe. Votre panier a été restauré, veuillez réessayer."
"The payment was not completed and your gift card has not been charged.","Le paiement n'a pas abouti et votre carte cadeau n'a pas été débitée."
"This order can no longer be paid. Your cart has been restored, please try again.","Cette commande ne peut plus être payée. Votre panier a été restauré, veuillez réessayer."
"Title","Titre"
"Total","Total"
"Turn it on in the payment configuration.","Activez-le dans la configuration du moyen de paiement."
"Unknown status, handled as a failed transaction.","Statut inconnu, traité comme une transaction échouée."
"We are unable to reach the payment provider. Please try again or choose another payment method.","Nous ne parvenons pas à joindre le prestataire de paiement. Merci de réessayer ou de choisir un autre moyen de paiement."

"Your order has been placed and the Ogloba payment is still being confirmed. Your order will be updated as soon as the confirmation arrives.","Votre commande a été enregistrée et le paiement Ogloba est en cours de confirmation. Votre commande sera mise à jour dès réception de la confirmation."
