"%1 (code %2)","%1 (codice %2)"
"%1 The order was already cancelled, a manual review is required.","%1 L'ordine era già annullato, è necessaria una verifica manuale."
"API message","Messaggio dell'API"
"Aborted","Abbandonato"
"An order number, an operation, anything","Un numero d'ordine, un'operazione, qualsiasi cosa"
"Authorised","Autorizzato"
"Authorising","Autorizzazione in corso"
"Base URL without trailing slash, e.g. https://api.example.com","URL di base senza slash finale, ad esempio https://api.example.com"
"Base URL without trailing slash, e.g. https://staging.example.com","URL di base senza slash finale, ad esempio https://staging.example.com"
"Cancelled","Annullato"
"Charged","Addebitato"
"Created","Creato"
"Customer","Cliente"
"Customer return","Ritorno del cliente"
"Debug Mode","Modalità debug"
"Debug Mode is off: the log tells what happened, without the API payloads.","La modalità debug è disattivata: il log dice ciò che è accaduto, senza i contenuti scambiati con l'API."
"Description","Descrizione"
"Enabled","Attivato"
"Environment","Ambiente"
"Error","Errore"
"Filter","Filtro"
"HMAC Key","Chiave HMAC"
"Invalid signature on the %1 of order %2.","Firma non valida sul %1 dell'ordine %2."
"Last %1 lines of %2, the most recent first.","Ultime %1 righe di %2, la più recente per prima."
"Limonetik operation ID","Identificativo operazione Limonetik"
"Limonetik order ID","Identificativo ordine Limonetik"
"Lines","Righe"
"Logs the full request and response payloads in var/log/payplug_ogloba.log, read from Sales > Ogloba API Logs.","Registra il contenuto completo delle richieste e delle risposte in var/log/payplug_ogloba.log, consultabile da Vendite > Log API Ogloba."
"Maximum Order Total","Importo massimo dell'ordine"
"Merchant ID","Identificativo esercente"
"Minimum Order Total","Importo minimo dell'ordine"
"New Order Status","Stato dei nuovi ordini"
"No line matching ""%1"" in the end of the log.","Nessuna riga corrisponde a «%1» alla fine del log."
"No order matching the Ogloba operation %1.","Nessun ordine corrisponde all'operazione Ogloba %1."
"Not a final status, the order is left as it is.","Stato non definitivo, l'ordine viene lasciato invariato."
"Not supported by this version, the order awaits a final status.","Non supportato da questa versione, l'ordine attende uno stato definitivo."
"Notify Failed Transaction","Notifica transazione fallita"
"Notify Successful Transaction","Notifica transazione riuscita"
"Ogloba API","API Ogloba"
"Ogloba API Logs","Log API Ogloba"
"Ogloba Gift Card","Carta regalo Ogloba"
"Ogloba environment","Ambiente Ogloba"
"Ogloba failed transaction","Transazione Ogloba fallita"
"Ogloba notification","Notifica Ogloba"
"Ogloba notification - %1","Notifica Ogloba - %1"
"Ogloba notification: No payment status was received.","Notifica Ogloba: nessuno stato di pagamento ricevuto."
"Ogloba order ID","Identificativo ordine Ogloba"
"Ogloba order sequence","Numero di sequenza Ogloba"
"Ogloba payment confirmed - order %increment_id","Pagamento Ogloba confermato - ordine %increment_id"
"Ogloba payment failed - order %increment_id","Pagamento Ogloba fallito - ordine %increment_id"
"Ogloba payment operation ID","ID dell'operazione di pagamento Ogloba"
"Ogloba payment return - %1","Ritorno di pagamento Ogloba - %1"
"Ogloba payment return: The customer came back without a payment status.","Ritorno di pagamento Ogloba: il cliente è tornato senza stato di pagamento."
"Ogloba payment status","Stato del pagamento Ogloba"
"Ogloba refund of %1 completed (operation %2).","Rimborso Ogloba di %1 completato (operazione %2)."
"Ogloba refund of %1 in progress (operation %2), waiting for the Ogloba notification.","Rimborso Ogloba di %1 in corso (operazione %2), in attesa della notifica di Ogloba."
"Ogloba refund operation ID","ID dell'operazione di rimborso Ogloba"
"Ogloba refund status","Stato del rimborso Ogloba"
"Ogloba reported the refund of order %1 as %2, the credit memo has not been created.","Ogloba ha dichiarato il rimborso dell'ordine %1 come %2, la nota di credito non è stata creata."
"Ogloba successful transaction","Transazione Ogloba riuscita"
"Ogloba: the customer came back to the shop from the payment page.","Ogloba: il cliente è tornato al negozio dalla pagina di pagamento."
"Ogloba: the customer is redirected to the payment page.","Ogloba: il cliente è stato reindirizzato alla pagina di pagamento."
"Ogloba: the invoice has been created automatically further to the charged payment.","Ogloba: la fattura è stata creata automaticamente in seguito al pagamento addebitato."
"Operation Notifications","Notifiche delle operazioni"
"Operator Email","Email dell'operatore"
"Order","Ordine"
"Order %1 carries no Ogloba order reference, it cannot be refunded online.","L'ordine %1 non riporta alcun riferimento d'ordine Ogloba, non può essere rimborsato online."
"Order %1 is in %2 while the store currency is %3, the online refund cannot be sent.","L'ordine %1 è in %2 mentre la valuta del negozio è %3, il rimborso online non può essere inviato."
"Order %1 was paid on the %2 environment but the module is now configured on %3, the online refund cannot be sent.","L'ordine %1 è stato pagato sull'ambiente %2 ma il modulo è ora configurato su %3, il rimborso online non può essere inviato."
"Partially refunded","Parzialmente rimborsato"
"Pay for your order with your Ogloba gift card.","Paga il tuo ordine con la tua carta regalo Ogloba."
"PayPlug Payments - Ogloba KDO","Pagamenti PayPlug - Ogloba KDO"
"Payment Page ID","Identificativo della pagina di pagamento"
"Payment from Applicable Countries","Pagamento per tutti i Paesi"
"Payment from Specific Countries","Pagamento autorizzato per i Paesi specifici"
"Payment in progress","Pagamento in corso"
"Private shared secret used to sign outgoing requests and verify notifications.","Segreto condiviso privato utilizzato per firmare le richieste in uscita e verificare le notifiche."
"Production","Produzione"
"Production Host","Host di produzione"
"Recipients of the operation notifications, comma-separated.","Destinatari delle notifiche delle operazioni, separati da virgole."
"Refresh","Aggiorna"
"Refunded","Rimborsato"
"Refunding","Rimborso in corso"
"Refused","Rifiutato"
"Resolved by","Risolto da"
"Selects which host the payment orders are sent to.","Determina l'host a cui vengono inviate le richieste di pagamento."
"Sends a confirmation email to the operator on successful payment.","Invia un'email di conferma all'operatore in caso di pagamento riuscito."
"Sends an alert to the operator on failed payment.","Invia un avviso all'operatore in caso di pagamento fallito."
"Shown to the customer in the checkout when this payment method is selected.","Mostrato al cliente durante il checkout quando questo metodo di pagamento è selezionato."
"Sort Order","Ordine di classifica"
"Staging","Staging"
"Staging Host","Host di staging"
"Store","Negozio"
"The Ogloba %1 carries no %2.","%1 Ogloba: nessun %2 ricevuto."
"The Ogloba operation %1 is already being resolved elsewhere.","L'operazione Ogloba %1 è già in corso di risoluzione altrove."
"The Ogloba payment of order %1 did not go through, the order has been cancelled.","Il pagamento Ogloba dell'ordine %1 non è andato a buon fine, l'ordine è stato annullato."
"The Ogloba payment of order %1 has been charged, the order is being processed.","Il pagamento Ogloba dell'ordine %1 è stato addebitato, l'ordine è in elaborazione."
"The Ogloba payment of order %1 has been resolved.","Il pagamento Ogloba dell'ordine %1 è stato risolto."
"The Ogloba refund could not be processed. Check the Ogloba log for the details.","Il rimborso Ogloba non è stato elaborato. Consultare il log di Ogloba per i dettagli."
"The currency selected is not supported by Ogloba Gift Card.","La valuta selezionata non è supportata dalla carta regalo Ogloba."
"The log is empty, or has not been written yet.","Il log è vuoto o non è ancora stato scritto."
"The payment page could not be reached. Your cart has been restored, please try again.","Non è stato possibile raggiungere la pagina di pagamento. Il tuo carrello è stato ripristinato, riprova."
"The payment was not completed and your gift card has not been charged.","Il pagamento non è andato a buon fine e nessun importo è stato addebitato sulla tua carta regalo."
"This order can no longer be paid. Your cart has been restored, please try again.","Questo ordine non può più essere pagato. Il tuo carrello è stato ripristinato, riprova."
"Title","Titolo"
"Total","Totale"
"Turn it on in the payment configuration.","Attivala nella configurazione del metodo di pagamento."
"Unknown status, handled as a failed transaction.","Stato sconosciuto, gestito come transazione fallita."
"We are unable to reach the payment provider. Please try again or choose another payment method.","Non riusciamo a contattare il fornitore di pagamento. Riprova o scegli un altro metodo di pagamento."

"Your order has been placed and the Ogloba payment is still being confirmed. Your order will be updated as soon as the confirmation arrives.","Il tuo ordine è stato registrato e il pagamento Ogloba è in attesa di conferma. Il tuo ordine sarà aggiornato non appena arriverà la conferma."
